"id_client","nom_du_client","commentaires"
"1","HRConseil Groupe",""
"2","Bpifrance",""
"3","Thyssenkrupp Ascenceurs",""
"4","HRConseil",""
"5","Société Générale",""
"6","CRPRATP",""
"7","Bpifrance Financement",""
"8","Bpifrance Investissement",""
"9","Bpifrance Assurance Export",""
"10","Ministère des armées",""
"11","SOPRA HR SOFTWARE - Services",""
"12","Capgemini Technology Services",""
"13","Métropole de Lyon",""
"14","CGI France SAS",""
"15","SNCF",""
"16","APRR",""
"17","IBM France",""
"18","Informatique CDC",""
"19","ZZ_CISRH",""
"20","ALTHEA GROUPE",""
"21","ZZ_MTES",""
"22","ZZ_ALTHEA MTES",""
"23","GEA Group Holding France",""
"24","CGI France SAS",""
"25","CGI France",""
"26","INFOBAM (GBH)",""
"27","SMABTP",""
"28","COLAS DIGITAL SOLUTIONS",""
"29","FNAC DARTY PARTICIPATIONS ET SERVICES",""
"30","CCAS",""
"31","ZZ_France Média Monde",""
"32","ZZ_HENNER",""
"33","Le Sénat",""
"34","ONERA",""
"35","EPPDCSI – Universcience",""
"36","SARA",""
"37","PERENCO",""
"38","Ministère de l'Education Nationale",""
"39","Ministère de l'Intérieur",""
"40","Business France",""
"41","EGIS",""
"42","CISIRH",""
"43","MTES",""
"44","Will Be Financial Services SAS",""
"45","Crédit Agricole",""
"46","ZZ_Infobam",""
"47","Henner",""
"48","ENGIE",""
"49","GBS Services",""
"50","Eiffage Global Services (MOA)",""
"51","France Médias Monde",""
"52","AVENIR (GBH)",""
"53","LOGIBAM (GBH)",""
"54","KIA MOTORS (GBH)",""
"55","SUPERBAM CI (GBH)",""
"56","BAMYTRUCKS (GBH)",""
"57","INOP'S",""
"58","La Poste (courrier)",""
"59","ZZ_INGEROP",""
"60","INGEROP",""
"61","METRO Cash & Carry France",""
"62","Nom client",""
"63","FAFIEC",""
"64","PERSOLIS S.A.",""
"65","FOREM",""
"66","Thales Services",""
"67","Star Tec Informatique",""
"68","GEODIS",""
"69","Société Fromageries Bel S.A",""
"70","RTE Réseau de transport d’électricité",""
"71","Groupe UFF",""
"72","FICA CI (GBH)",""
"73","Ponticelli Frères SAS",""
"74","Vinci Construction",""
"75","Groupe UFF",""
"76","UFIFRANCE PATRIMOINE",""
"77","UNION FINANCIERE DE FRANCE",""
"78","GBH HOLDING",""
"79","Apprentis d'Auteuil",""
"80","ORANO Support",""
"81","SYSTEMGIE",""
"82","Groupe SAVENCIA",""
"83","SB ALLIANCE INFORMATIQUE",""
"84","SAVENICA",""
"85","CFAO",""
"86","SIPLEC",""
"87","BEARINGPOINT FRANCE SAS",""
"88","Amundi",""
"89","Segula Technologies",""